"","name","year","Gener","Certification","rating","vote","gross","synopsis","Director_Star"
"1","The Shawshank Redemption","(1994)","
Drama            ","A","9.3","2,610,530","$28.34M","
Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","
    Director:
Frank Darabont
                 | 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler
    "
"2","The Dark Knight","(2008)","
Action, Crime, Drama            ","UA","9.0","2,582,578","$534.86M","
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","
    Director:
Christopher Nolan
                 | 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine
    "
"3","Inception","(2010)","
Action, Adventure, Sci-Fi            ","UA","8.8","2,290,712","$292.58M","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","
    Director:
Christopher Nolan
                 | 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe
    "
"4","Fight Club","(1999)","
Drama            ","A","8.8","2,056,993","$37.03M","
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","
    Director:
David Fincher
                 | 
    Stars:
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
    "
"5","Forrest Gump","(1994)","
Drama, Romance            ","UA","8.8","2,017,936","$330.25M","
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","
    Director:
Robert Zemeckis
                 | 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field
    "
"6","Pulp Fiction","(1994)","
Crime, Drama            ","A","8.9","2,000,303","$107.93M","
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","
    Director:
Quentin Tarantino
                 | 
    Stars:
John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis
    "
"7","The Matrix","(1999)","
Action, Sci-Fi            ","A","8.7","1,872,793","$171.48M","
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","
    Directors:
Lana Wachowski, 
Lilly Wachowski
                 | 
    Stars:
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
    "
"8","The Lord of the Rings: The Fellowship of the Ring","(2001)","
Action, Adventure, Drama            ","U","8.8","1,813,010","$315.54M","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","
    Director:
Peter Jackson
                 | 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
    "
"9","The Godfather","(1972)","
Crime, Drama            ","A","9.2","1,806,169","$134.97M","
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.","
    Director:
Francis Ford Coppola
                 | 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton
    "
"10","The Lord of the Rings: The Return of the King","(2003)","
Action, Adventure, Drama            ","U","9.0","1,791,955","$377.85M","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","
    Director:
Peter Jackson
                 | 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
    "
